wdid,spectype,teff,logg
2MASS J10470920+3453463,DA,8254.0,7.305
2MASS J10480182+6334487,DA,5278.0,8.066
2MASS J10494804+3933247,DA+M,32972.0,7.59
2MASS J10495981-0047193,DA,11732.0,7.731
2MASS J10503864+4138349,DA+M,7459.0,7.086
2MASS J10505170-0012075,DA+M,6300.0,5.0
2MASS J10513336+6634012,DAM,18192.0,7.752
2MASS J10521649+2625247,DA+M,11125.0,7.404
2MASS J10531331+3848351,DA+M,12828.0,7.57
2MASS J10540525+2839167,DA+M,15514.0,8.235
2MASS J10541782+1706003,DA+M,6300.0,9.95
2MASS J10542197+5122541,DA+M,23863.0,8.15
2MASS J10543618+1008379,DA+M,11433.0,7.97
2MASS J10561749+5053214,DAM,15880.0,7.178
2MASS J10565735+3304161,DA+M,20804.0,8.04
2MASS J10575693+1307037,DA+M,9023.0,6.875
2MASS J10584528+1647147,DA+M,23076.0,7.58
2MASS J10585319+3900183,DA+M,8875.0,7.57
2MASS J11004434+4823036,DA,6993.0,7.473
2MASS J11015131+1222409,DA+M,19868.0,7.78
2MASS J11023023+2515265,DA+M,6300.0,10.0
2MASS J11051758+3851260,DA+M,10548.0,8.17
2MASS J11052978-1647195,DA+M,25891.0,7.9
2MASS J11060419+0120103,DA:+M,64291.0,8.08
2MASS J11061649+4518556,DA,7586.0,8.429
2MASS J11062768-0105147,DAM,26813.0,7.183
2MASS J11063436+0737122,DA+M,36034.0,7.67
2MASS J11065290+2842454,DA+M,12756.0,8.41
2MASS J11073810+3800518,DA+M,8977.0,7.69
2MASS J11074705+1542196,DA+M,6300.0,10.0
2MASS J11075016+0505591,DA+M,18865.0,7.77
2MASS J11075894+2753463,DA+M,6300.0,5.0
2MASS J11075976+2041105,DA+M,9863.0,8.22
2MASS J11083465-1548470,DA+M,12976.0,7.83
2MASS J11084306+3123559,DA+M,28064.0,7.98
2MASS J11084355+1155161,DAM,33845.0,7.525
2MASS J11094130+5512289,DA,7061.0,8.582
2MASS J11095703+3302459,DA+M,20331.0,7.86
2MASS J11102104+3047384,DA,8401.0,7.584
2MASS J11125121+1907004,DA+M,12828.0,7.57
2MASS J11140089+4518232,DA+M,14560.0,7.77
2MASS J11141929+0838288,DA+M,15246.0,7.9
2MASS J11142462+3341243,DA,7920.0,7.843
2MASS J11142536+3808216,DA,10892.0,8.042
2MASS J11145995+0924110,DA+M,10367.0,8.29
2MASS J11150148-1203220,DA+M,10548.0,8.33
2MASS J11151166+1724072,DA,9612.0,7.446
2MASS J11153001+6643011,DA+M,10073.0,8.22
2MASS J11153694+0033171,DA,5053.0,7.589
2MASS J11161449+5357209,DAM,12474.0,7.904
2MASS J11171056-1255409,DA+M,11302.0,8.29
2MASS J11171487+0954152,DA+M,14846.0,7.84
2MASS J11173512+0129404,DA+M,8573.0,8.16
2MASS J11181020+1313386,DA+M,32307.0,7.96
2MASS J11191419+3801597,DA+M,18120.0,7.85
2MASS J11193338+3744112,DA+M,12828.0,7.57
2MASS J11201274+1901269,DA+M,12976.0,8.24
2MASS J11201607+6757507,DA:+M,,
2MASS J11204875+3819057,DA+M,18120.0,7.82
2MASS J11214601+1553256,DA,7392.0,7.929
2MASS J11214996+2859047,DA+M,10918.0,8.21
2MASS J11230840-1155593,DA+M,10073.0,9.12
2MASS J11235773-0110276,DAM,20478.0,7.789
2MASS J11251231+2905453,DA+M?,6300.0,5.0
2MASS J11262386+0108568,DA+M,15246.0,7.84
2MASS J11263674+1458298,DA+M,14560.0,7.77
2MASS J11272201+4249339,DA+M,11433.0,8.17
2MASS J11273153+0623050,DA,8474.0,7.981
2MASS J11274827-0028592,DA,14460.0,7.809
2MASS J11281264+6717384,DA+M,6300.0,5.0
2MASS J11281393+1252341,DA+M,14393.0,7.87
2MASS J11284071+0841175,DA+M,26801.0,7.86
2MASS J11290953+6637043,DA+M,15964.0,7.67
2MASS J11291414+4715014,DA,11371.0,5.285
2MASS J11300614-0647163,DA+M5,9823.0,7.54
2MASS J11310905+0643061,DA,7550.0,7.895
2MASS J11313905-0321271,DA+M,15071.0,7.77
2MASS J11321273+5837438,DA+M,7511.0,5.02
2MASS J11351112+0009241,DA+M4,6300.0,8.09
2MASS J11351132+6013566,DA,14322.0,7.916
2MASS J11355751+0103106,DA+M,8187.0,8.46
2MASS J11365515+0409528,DA+M,11699.0,7.99
2MASS J11375649+5740225,DAH,7669.0,8.175
2MASS J11380037-0011442,DA+M,17272.0,8.097
2MASS J11382911+2020402,DA+M,10588.0,8.09
2MASS J11390756+5111036,DA+M,6699.0,6.918
2MASS J11404644+3318430,DA+M,,
2MASS J11431257+0009267,DA+M,16719.0,7.813
2MASS J11431651+6658132,DA+M,6300.0,10.0
2MASS J11441564+4557001,DA+M,19416.0,7.9
2MASS J11450979+3813292,DA+M,,
2MASS J11471607+2939301,DA+M,16149.0,8.08
2MASS J11472000+1128132,DA+M,9844.0,8.48
2MASS J11485334+5552170,DA+K,,
2MASS J11505233+6831161,DA,6709.0,8.27
2MASS J11515695-0007251,DAM,8921.0,7.199
2MASS J11523697+0021417,DA,9615.0,7.393
2MASS J11535608+4001375,DA,17045.0,7.419
2MASS J11584888+1715528,DA+M,24163.0,7.87
2MASS J11585730+1529221,DA+M,32561.0,7.69
2MASS J12045543+1337155,DA+M,16525.0,7.89
2MASS J12050800+0312344,DA+M,12828.0,8.07
2MASS J12053620+4256083,DA+M,17106.0,8.07
2MASS J12063596+0823090,DA,8161.0,8.027
2MASS J12090941+6510199,DA+M,13127.0,7.9
2MASS J12111941+4155553,DA+M,30419.0,7.86
2MASS J12113095-0249545,DA+M,13130.0,7.84
2MASS J12125824-0123101,DA+M,17304.0,7.52
2MASS J12131815+5102475,DA+M,14560.0,7.83
2MASS J12135686+3635310,DA+M,31853.0,7.43
2MASS J12140895+2655433,DA+M,6300.0,10.0
